"flightNumber","departureDate","requestDate","origin","destination","pmin"
"LX316",2016-06-07,2016-05-22,"ZRH","LHR",152.63
"LX316",2016-06-07,2016-05-23,"ZRH","LHR",152.63
"LX316",2016-06-07,2016-05-24,"ZRH","LHR",167.5
"LX316",2016-06-07,2016-05-25,"ZRH","LHR",175.92
"LX316",2016-06-07,2016-05-26,"ZRH","LHR",175.92
"LX316",2016-06-07,2016-05-27,"ZRH","LHR",175.92
"LX316",2016-06-07,2016-05-28,"ZRH","LHR",179.3
"LX316",2016-06-07,2016-05-29,"ZRH","LHR",189.52
"LX316",2016-06-07,2016-05-30,"ZRH","LHR",179.3
"LX316",2016-06-07,2016-05-31,"ZRH","LHR",203.36
"LX316",2016-06-07,2016-06-01,"ZRH","LHR",200.17
"LX316",2016-06-07,2016-06-02,"ZRH","LHR",208.4
"LX316",2016-06-07,2016-06-03,"ZRH","LHR",208.4
"LX316",2016-06-07,2016-06-04,"ZRH","LHR",217.15
"LX316",2016-06-07,2016-06-05,"ZRH","LHR",248.46
"LX316",2016-06-07,2016-06-06,"ZRH","LHR",256.71
"LX316",2016-06-08,2016-05-18,"ZRH","LHR",152.63
"LX316",2016-06-08,2016-05-19,"ZRH","LHR",152.63
"LX316",2016-06-08,2016-05-20,"ZRH","LHR",152.63
"LX316",2016-06-08,2016-05-21,"ZRH","LHR",152.63
"LX316",2016-06-08,2016-05-22,"ZRH","LHR",152.63
"LX316",2016-06-08,2016-05-23,"ZRH","LHR",152.63
"LX316",2016-06-08,2016-05-24,"ZRH","LHR",152.63
"LX316",2016-06-08,2016-05-25,"ZRH","LHR",175.92
"LX316",2016-06-08,2016-05-26,"ZRH","LHR",175.92
"LX316",2016-06-08,2016-05-27,"ZRH","LHR",175.92
"LX316",2016-06-08,2016-05-28,"ZRH","LHR",175.92
"LX316",2016-06-08,2016-05-29,"ZRH","LHR",175.92
"LX316",2016-06-08,2016-05-30,"ZRH","LHR",175.92
"LX316",2016-06-08,2016-05-31,"ZRH","LHR",175.92
"LX316",2016-06-08,2016-06-01,"ZRH","LHR",195
"LX316",2016-06-08,2016-06-02,"ZRH","LHR",208.4
"LX316",2016-06-08,2016-06-03,"ZRH","LHR",213.3
"LX316",2016-06-08,2016-06-04,"ZRH","LHR",237.4
"LX316",2016-06-08,2016-06-05,"ZRH","LHR",237.4
"LX316",2016-06-08,2016-06-06,"ZRH","LHR",237.4
"LX316",2016-06-08,2016-06-07,"ZRH","LHR",247.14
"LX316",2016-06-09,2016-05-19,"ZRH","LHR",155.13
"LX316",2016-06-09,2016-05-20,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-21,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-22,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-23,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-24,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-25,"ZRH","LHR",175.92
